PAY_YEAR,DEPARTMENT_NO,DEPARTMENT_TITLE,JOB_CLASS_PGRADE,JOB_TITLE,EMPLOYMENT_TYPE,JOB_STATUS,REGULAR_PAY,OVERTIME_PAY,ALL_OTHER_PAY,TOTAL_PAY,CITY_RETIREMENT_CONTRIBUTIONS,BENEFIT_PAY,GENDER,ETHNICITY,EMPLOYEE_NO
2023,82,PUBLIC WORKS - SANITATION,3112-6,MAINTENANCE LABORER,FULL_TIME,ACTIVE,13636,682.52,877.04,15195.56,4044.44,2550.17,MALE,HISPANIC,191910
2023,12,CITY ATTORNEY,0544-0,DEPUTY CITY ATTORNEY II,FULL_TIME,ACTIVE,40469.92,0,0,40469.92,12003.38,2644.81,FEMALE,ASIAN,191911
2023,70,POLICE,2214-C,POLICE OFFICER I,FULL_TIME,ACTIVE,21230.96,942.47,0,22173.43,9946.7,2511.6,MALE,BLACK,191912
2023,70,POLICE,2207-2,POLICE SERVICE REPRESENTATIVE II,FULL_TIME,ACTIVE,27973.98,1777.91,1174.81,30926.7,8297.08,6579.72,MALE,FILIPINO,191913
2023,82,PUBLIC WORKS - SANITATION,3580-2,REFUSE COLLECTION TRUCK OPERATOR II,FULL_TIME,ACTIVE,23460.8,7174.35,2336.25,32971.4,6958.47,6579.72,MALE,HISPANIC,191914
2023,38,FIRE,2142-2,FIRE CAPTAIN II,FULL_TIME,ACTIVE,46712.6,32175.13,8937.03,87824.76,21884.85,6222.37,MALE,HISPANIC,191915
2023,88,RECREATION AND PARKS,2498-0,RECREATION ASSISTANT,PART_TIME,ACTIVE,6762.69,0,260,7022.69,0,2581.67,MALE,BLACK,191916
2023,44,LIBRARY,6152-3,LIBRARIAN III,FULL_TIME,ACTIVE,29913.6,0,0,29913.6,8872.37,2644.81,FEMALE,CAUCASIAN,191917
2023,82,PUBLIC WORKS - SANITATION,3580-2,REFUSE COLLECTION TRUCK OPERATOR II,FULL_TIME,ACTIVE,22470.8,1207.41,620.57,24298.78,6664.84,6579.72,MALE,HISPANIC,191918
2023,16,CITY EMPLOYEES RETIREMENT SYSTEM,1358-0,ADMINISTRATIVE CLERK,FULL_TIME,ACTIVE,12032.8,0,0,12032.8,3568.93,2644.81,FEMALE,BLACK,191919
2023,38,FIRE,1835-2,STOREKEEPER II,FULL_TIME,ACTIVE,20533.6,0,70,20603.6,6090.27,6452.88,MALE,CAUCASIAN,191920
2023,32,INFORMATION TECHNOLOGY AGENCY,0861-1,COMMUNICATIONS ELECTRICIAN I - HIRING HALL,PART_TIME,ACTIVE,20623.23,5960.22,0,26583.45,0,0,FEMALE,OTHER,191921
2023,70,POLICE,2223-1,POLICE DETECTIVE I,FULL_TIME,ACTIVE,35966.39,1547.76,6167.54,43681.69,16850.25,3484.46,MALE,HISPANIC,191922
2023,70,POLICE,2214-C,POLICE OFFICER I,FULL_TIME,NOT_ACTIVE,0,50.87,0,50.87,0,0,MALE,NA,191923
2023,42,HARBOR,3221-2,PORT POLICE OFFICER II,FULL_TIME,ACTIVE,61735.8,6052.45,3887.08,71675.33,28923.22,5054.98,MALE,HISPANIC,191924
2023,94,TRANSPORTATION,3218-2,SENIOR TRAFFIC SUPERVISOR II,FULL_TIME,ACTIVE,28557.94,1959.7,973.46,31491.1,8470.29,2672.11,FEMALE,HISPANIC,191925
2023,70,POLICE,1539-0,MANAGEMENT ASSISTANT,FULL_TIME,NOT_ACTIVE,2369.82,0,0,2369.82,702.89,617.09,FEMALE,CAUCASIAN,191926
2023,70,POLICE,2214-3,POLICE OFFICER III,FULL_TIME,ACTIVE,33283.86,4054.68,2086,39424.54,15593.49,3484.46,FEMALE,HISPANIC,191927
2023,70,POLICE,2214-2,POLICE OFFICER II,FULL_TIME,ACTIVE,34433.93,54029.99,2674,91137.92,16132.3,6222.37,MALE,HISPANIC,191928
2023,88,RECREATION AND PARKS,2413-0,POOL LIFEGUARD,PART_TIME,ACTIVE,1819.53,0,0,1819.53,0,0,MALE,HISPANIC,191929
2023,88,RECREATION AND PARKS,2498-0,RECREATION ASSISTANT,PART_TIME,ACTIVE,1124.15,0,0,1124.15,0,0,MALE,OTHER,191930
2023,70,POLICE,2214-2,POLICE OFFICER II,FULL_TIME,ACTIVE,32096.29,25867.69,2030,59993.98,15037.11,6222.37,MALE,HISPANIC,191931
2023,38,FIRE,2112-3,FIREFIGHTER III,FULL_TIME,ACTIVE,37116.8,12084.82,537,49738.62,17389.22,6222.37,MALE,BLACK,191932
2023,38,FIRE,2128-1,FIRE INSPECTOR I,FULL_TIME,ACTIVE,18894.4,0,357,19251.4,8852.03,6222.37,MALE,BLACK,191933
2023,70,POLICE,0102-0,COMMISSION HEARING EXAMINER,PART_TIME,ACTIVE,4050,0,0,4050,0,0,MALE,CAUCASIAN,191934
2023,4,AIRPORTS,1714-3,PERSONNEL DIRECTOR III,FULL_TIME,ACTIVE,63064.84,0,112,63176.84,18705.03,6485.08,FEMALE,HISPANIC,191935
2023,12,CITY ATTORNEY,0598-0,ASSISTANT CITY ATTORNEY,FULL_TIME,ACTIVE,74824.51,0,0,74824.51,22192.95,6579.72,FEMALE,ASIAN,191936
2023,70,POLICE,2214-2,POLICE OFFICER II,FULL_TIME,ACTIVE,33165.5,3376.1,1330,37871.6,9836.89,5629.05,MALE,HISPANIC,191937
2023,88,RECREATION AND PARKS,2413-0,POOL LIFEGUARD,PART_TIME,ACTIVE,7087.25,0,0,7087.25,0,0,FEMALE,HISPANIC,191938
2023,70,POLICE,9184-0,MANAGEMENT ANALYST,FULL_TIME,ACTIVE,17627.2,0,0,17627.2,5228.23,3702.54,FEMALE,CAUCASIAN,191939
2023,86,PUBLIC WORKS - STREET SERVICES,3114-0,TREE SURGEON,FULL_TIME,ACTIVE,17558.14,14717.52,492.37,32768.03,5207.74,6579.72,MALE,HISPANIC,191940
2023,40,GENERAL SERVICES,3446-0,PLUMBER SUPERVISOR,FULL_TIME,ACTIVE,33159.2,1337.85,452.29,34949.34,9835.02,6579.72,MALE,BLACK,191941
2023,39,OFFICE OF FINANCE,1597-1,SENIOR SYSTEMS ANALYST I,FULL_TIME,ACTIVE,34634.34,0,0,34634.34,10272.55,5009.48,MALE,FILIPINO,191942
2023,82,PUBLIC WORKS - SANITATION,3580-2,REFUSE COLLECTION TRUCK OPERATOR II,FULL_TIME,ACTIVE,21626.4,5657,445.01,27728.41,6414.39,6579.72,MALE,HISPANIC,191943
2023,4,AIRPORTS,3156-A,CUSTODIAN - AIRPORTS,FULL_TIME,ACTIVE,16459.95,1052.28,968.97,18481.2,4882.02,5009.48,MALE,HISPANIC,191944
2023,70,POLICE,1116-0,SECRETARY,FULL_TIME,ACTIVE,20028.8,0,0,20028.8,5940.54,4319.63,FEMALE,BLACK,191945
2023,70,POLICE,2214-2,POLICE OFFICER II,FULL_TIME,ACTIVE,32468.95,314.54,2030,34813.49,15211.7,5629.05,MALE,BLACK,191946
2023,70,POLICE,2214-2,POLICE OFFICER II,FULL_TIME,ACTIVE,35083.31,20215.42,1386,56684.73,16436.53,6222.37,MALE,CAUCASIAN,191947
2023,40,GENERAL SERVICES,1358-0,ADMINISTRATIVE CLERK,FULL_TIME,ACTIVE,11563.4,0,432.25,11995.65,3429.7,5009.48,MALE,BLACK,191948
2023,70,POLICE,2214-C,POLICE OFFICER I,FULL_TIME,ACTIVE,20159.68,225.48,32,20417.16,7494.97,2712.43,MALE,HISPANIC,191949
2023,44,LIBRARY,1358-0,ADMINISTRATIVE CLERK,FULL_TIME,ACTIVE,17588.96,0,0,17588.96,5216.89,2644.81,FEMALE,ASIAN,191950
2023,38,FIRE,2128-1,FIRE INSPECTOR I,FULL_TIME,ACTIVE,37737.67,6365.15,357,44459.82,17680.1,3442.25,FEMALE,FILIPINO,191951
2023,40,GENERAL SERVICES,3115-0,MAINTENANCE AND CONSTRUCTION HELPER,PART_TIME,ACTIVE,12942.28,2592.5,100,15634.78,0,2581.67,MALE,HISPANIC,191952
2023,4,AIRPORTS,3863-0,ELECTRICIAN,FULL_TIME,ACTIVE,31371.24,1181.34,1237.4,33789.98,9304.71,6579.72,MALE,HISPANIC,191953
2023,82,PUBLIC WORKS - SANITATION,7246-2,CIVIL ENGINEERING ASSOCIATE II,FULL_TIME,ACTIVE,33046.4,1252.44,5.78,34304.62,9801.56,6579.72,MALE,BLACK,191954
2023,82,PUBLIC WORKS - SANITATION,4113-0,WASTEWATER COLLECTION SUPERVISOR,FULL_TIME,ACTIVE,30249.6,12535.33,3467.36,46252.29,8972.03,5596.01,MALE,HISPANIC,191955
2023,43,LOS ANGELES HOUSING,9184-0,MANAGEMENT ANALYST,FULL_TIME,ACTIVE,21897.8,0,0,21897.8,6494.89,6579.72,FEMALE,FILIPINO,191956
2023,82,PUBLIC WORKS - SANITATION,7203-4,STUDENT ENGINEER,PART_TIME,ACTIVE,6863.71,0,0,6863.71,0,0,FEMALE,CAUCASIAN,191957
2023,88,RECREATION AND PARKS,2418-1,ASSISTANT PARK SERVICES ATTENDANT I,PART_TIME,ACTIVE,2782.13,0,141.21,2923.34,0,0,FEMALE,NA,191958
2023,70,POLICE,2214-2,POLICE OFFICER II,FULL_TIME,ACTIVE,30948.71,0,2978,33926.71,14499.47,5629.05,MALE,HISPANIC,191959
2023,82,PUBLIC WORKS - SANITATION,4292-0,ENVIRONMENTAL COMPLIANCE INSPECTOR,FULL_TIME,ACTIVE,28900.98,0,490,29390.98,8572.03,5596.01,FEMALE,ASIAN,191960
2023,86,PUBLIC WORKS - STREET SERVICES,3353-0,CEMENT FINISHER,FULL_TIME,ACTIVE,25130.82,12298.8,402.29,37831.91,7453.8,6579.72,MALE,BLACK,191961
2023,70,POLICE,2214-2,POLICE OFFICER II,FULL_TIME,ACTIVE,27986.6,9048.89,1330,38365.49,13111.72,6222.37,MALE,HISPANIC,191962
